isamp	adc	time	tot	eoe
0	4775	50976	0	0
1	4776	50977	0	0
2	4780	50978	0	0
3	4775	50979	0	0
4	4780	50980	0	0
5	4780	50981	0	0
6	4775	50982	0	0
7	4782	50983	0	0
8	4779	50984	0	0
9	4783	50985	0	0
10	4774	50986	0	0
11	4776	50987	0	0
12	4773	50988	0	0
13	4775	50989	0	0
14	4777	50990	0	0
15	4774	50991	0	0
16	4778	50992	0	0
17	4780	50993	0	0
18	4776	50994	0	0
19	4779	50995	0	0
20	4773	50996	0	0
21	4776	50997	0	0
22	4776	50998	0	0
23	4774	50999	0	0
24	4777	51000	0	0
25	4775	51001	0	0
26	4775	51002	0	0
27	4775	51003	0	0
28	4772	51004	0	0
29	4780	51005	0	0
30	4771	51006	0	0
31	4775	51007	0	0
32	4776	51008	0	0
33	4776	51009	0	0
34	4780	51010	0	0
35	4771	51011	0	0
36	4778	51012	0	0
37	4777	51013	0	0
38	4777	51014	0	0
39	4775	51015	0	0
40	4772	51016	0	0
41	4779	51017	0	0
42	4775	51018	0	0
43	4775	51019	0	0
44	4778	51020	0	0
45	4772	51021	0	0
46	4774	51022	0	0
47	4776	51023	0	0
48	4772	51024	0	0
49	4778	51025	0	0
50	4776	51026	0	0
51	4774	51027	0	0
52	4775	51028	0	0
53	4774	51029	0	0
54	4773	51030	0	0
55	4775	51031	0	0
56	4780	51032	0	0
57	4776	51033	0	0
58	4779	51034	0	0
59	4773	51035	0	0
60	4775	51036	0	0
61	4774	51037	0	0
62	4779	51038	0	0
63	4776	51039	0	0
64	4779	51040	0	0
65	4777	51041	0	0
66	4780	51042	0	0
67	4783	51043	0	0
68	4773	51044	0	0
69	4779	51045	0	0
70	4774	51046	0	0
71	4775	51047	0	0
72	4782	51048	0	0
73	4776	51049	0	0
74	4775	51050	0	0
75	4776	51051	0	0
76	4772	51052	0	0
77	4781	51053	0	0
78	4774	51054	0	0
79	4775	51055	0	0
80	4777	51056	0	0
81	4778	51057	0	0
82	4778	51058	0	0
83	4774	51059	0	0
84	4782	51060	0	0
85	4821	51061	0	0
86	5000	51062	0	0
87	5321	51063	0	0
88	5500	51064	0	0
89	5498	51065	0	0
90	5428	51066	0	0
91	5311	51067	0	0
92	5172	51068	0	0
93	5042	51069	0	0
94	4957	51070	0	0
95	4908	51071	0	0
96	4897	51072	0	0
97	4886	51073	0	0
98	4863	51074	0	0
99	4853	51075	0	0
100	4837	51076	0	0
101	4820	51077	0	0
102	4811	51078	0	0
103	4793	51079	0	0
104	4791	51080	0	0
105	4793	51081	0	0
106	4799	51082	0	0
107	4801	51083	0	0
108	4791	51084	0	0
109	4790	51085	0	0
110	4788	51086	0	0
111	4786	51087	0	0
112	4785	51088	0	0
113	4783	51089	0	0
114	4780	51090	0	0
115	4777	51091	0	0
116	4777	51092	0	0
117	4776	51093	0	0
118	4776	51094	0	0
119	4775	51095	0	0
120	4774	51096	0	0
121	4785	51097	0	0
122	4778	51098	0	0
123	4779	51099	0	0
124	4779	51100	0	0
125	4780	51101	0	0
126	4775	51102	0	0
127	4782	51103	0	0
128	4772	51104	0	0
129	4782	51105	0	0
130	4782	51106	0	0
131	4781	51107	0	0
132	4782	51108	0	0
133	4780	51109	0	0
134	4783	51110	0	0
135	4777	51111	0	0
136	4780	51112	0	0
137	4779	51113	0	0
138	4773	51114	0	0
139	4780	51115	0	0
140	4778	51116	0	0
141	4778	51117	0	0
142	4778	51118	0	0
143	4773	51119	0	0
144	4776	51120	0	0
145	4773	51121	0	0
146	4776	51122	0	0
147	4779	51123	0	0
148	4772	51124	0	0
149	4778	51125	0	0
150	4777	51126	0	0
151	4772	51127	0	0
152	4778	51128	0	0
153	4773	51129	0	0
154	4775	51130	0	0
155	4772	51131	0	0
156	4773	51132	0	0
157	4779	51133	0	0
158	4775	51134	0	0
159	4778	51135	0	0
160	4777	51136	0	0
161	4778	51137	0	0
162	4777	51138	0	0
163	4777	51139	0	0
164	4777	51140	0	0
165	4776	51141	0	0
166	4777	51142	0	0
167	4777	51143	0	0
168	4776	51144	0	0
169	4778	51145	0	0
170	4779	51146	0	0
171	4780	51147	0	0
172	4777	51148	0	0
173	4779	51149	0	0
174	4776	51150	0	0
175	4777	51151	0	0
176	4776	51152	0	0
177	4777	51153	0	0
178	4776	51154	0	0
179	4778	51155	0	0
180	4778	51156	0	0
181	4775	51157	0	0
182	4782	51158	0	0
183	4775	51159	0	0
184	4780	51160	0	0
185	4777	51161	0	0
186	4776	51162	0	0
187	4778	51163	0	0
188	4774	51164	0	0
189	4774	51165	0	0
190	4779	51166	0	0
191	4775	51167	0	0
192	4776	51168	0	0
193	4775	51169	0	0
194	4777	51170	0	0
195	4774	51171	0	0
196	4776	51172	0	0
197	4780	51173	0	0
198	4774	51174	0	0
199	4778	51175	0	0
200	4775	51176	0	0
201	4777	51177	0	0
202	4776	51178	0	0
203	4773	51179	0	0
204	4777	51180	0	0
205	4773	51181	0	0
206	4777	51182	0	0
207	4778	51183	0	0
208	4778	51184	0	0
209	4779	51185	0	0
210	4775	51186	0	0
211	4775	51187	0	0
212	4777	51188	0	0
213	4776	51189	0	0
214	4778	51190	0	0
215	4775	51191	0	0
216	4777	51192	0	0
217	4777	51193	0	0
218	4773	51194	0	0
219	4775	51195	0	0
220	4771	51196	0	0
221	4773	51197	0	0
222	4775	51198	0	0
223	4775	51199	0	0
224	4775	51200	0	0
225	4772	51201	0	0
226	4777	51202	0	0
227	4776	51203	0	0
228	4772	51204	0	0
229	4780	51205	0	0
230	4775	51206	0	0
231	4775	51207	0	0
232	4778	51208	0	0
233	4771	51209	0	0
234	4778	51210	0	0
235	4775	51211	0	0
236	4776	51212	0	0
237	4776	51213	0	0
238	4775	51214	0	0
239	4776	51215	0	0
240	4774	51216	0	0
241	4779	51217	0	0
242	4782	51218	0	0
243	4772	51219	0	0
244	4778	51220	0	0
245	4780	51221	0	0
246	4778	51222	0	0
247	4778	51223	0	0
248	4772	51224	0	0
249	4778	51225	0	0
250	4773	51226	0	0
251	4777	51227	0	0
252	4774	51228	0	0
253	4779	51229	0	0
254	4777	51230	0	0
255	4775	51231	0	1
